config,link_speed_gbps,alpha,beta,T_s_us,avg_rate_gbps,rate_std_gbps,avg_utilization,util_error,avg_queue_kb,max_queue_kb,p99_queue_kb,convergence_time_us,throughput_efficiency
untuned,100,0.15,0.08,10.0,1.7404755883746676,0.6350979074928439,0.5176498188177746,0.43235018118222535,0.0,0.0,0.0,990.0000000000019,0.034809511767493355
tuned,100,0.85,0.5,1.0,1.6125,0.36250000000000016,0.5161250000000002,0.4338749999999998,0.0,0.0,0.0,999.0000000000152,0.03225
