config,link_speed_gbps,alpha,beta,T_s_us,avg_rate_gbps,rate_std_gbps,avg_utilization,util_error,avg_queue_kb,max_queue_kb,p99_queue_kb,convergence_time_us,throughput_efficiency
untuned,800,0.15,0.08,10.0,13.141591644287109,3.9788593514630004,0.5166244857576159,0.4333755142423841,0.0,0.0,0.0,990.0000000000019,0.032853979110717774
tuned,800,0.6,0.36,0.125,12.55,2.550000000000001,0.5156875,0.4343125,0.0,0.0,0.0,999.8750000000719,0.031375
